uid,processed_time,record_count,avg_temperature,avg_humidity,avg_pressure,avg_altitude,avg_height,avg_vbat,avg_satellites,avg_hdop,avg_latitude,avg_longitude
20240606181851A641973A1878250224,2025-11-17T00:00:00.000000,52,22.257692184615387,76.03653789807696,100040.58413461539,151.9442311769231,-2.4000001,8.440950257692306,12.0,1.1140384653846156,22.607767225,114.06001850192305
20240606181851A641973A1878250224,2025-11-17T00:01:00.000000,51,22.28431317647059,75.77647146470596,100040.13664215687,147.43529344705883,-2.4000001,8.446329764705885,12.0,1.204117643137255,22.607789701960808,114.06001026666671
20240606181851A641973A1878250224,2025-11-17T00:02:00.000000,52,22.29038396923077,75.98653867115382,100039.9765625,145.91153806346153,-2.4000001,8.429850224999994,12.0,1.1101923096153847,22.60776721923077,114.06001617307699
20240606181851A641973A1878250224,2025-11-17T00:03:00.000000,53,22.22641547169811,75.89056770566043,100040.6603773585,145.71320761509435,-2.4000001,8.437539852830188,12.0,1.2283018698113208,22.60774074716981,114.06003412264155
20240606181851A641973A1878250224,2025-11-17T00:04:00.000000,51,22.2000008,76.12548857254899,100040.92095588235,143.53725358823527,-2.4000001,8.449235525490195,12.0,1.1313725490196078,22.60770252352941,114.06004315882353
20240606181851A641973A1878250224,2025-11-17T00:05:00.000000,51,22.201961552941178,75.9960784980392,100040.73406862745,144.30588337058825,-2.4000001,8.442047394117644,12.0,1.2127450960784314,22.607693194117644,114.06004407647063
20240606181851A641973A1878250224,2025-11-17T00:06:00.000000,53,22.207547849056603,76.30943632264156,100040.37735849057,144.73962200566038,-2.4000001,8.466532377358488,12.0,1.15547169245283,22.60770923018867,114.06003340566026
20240606181851A641973A1878250224,2025-11-17T00:07:00.000000,51,22.270587905882355,76.29608067647061,100038.97426470589,146.58039077647052,-2.4000001,8.433941462745095,12.0,1.1488235274509804,22.6077226745098,114.06003301764709
20240606181851A641973A1878250224,2025-11-17T00:08:00.000000,52,22.2999992,76.16730721153841,100037.44290865384,141.52692295192307,-2.4000001,8.41560027307692,12.0,1.1667307711538462,22.607677457692315,114.06004154615381
20240606181851A641973A1878250224,2025-11-17T00:09:00.000000,51,22.2999992,76.07254792549016,100035.69975490196,143.47843035294113,-2.4000001,8.44908259215686,12.0,1.0652941156862745,22.607715337254906,114.06003063333333
20240606181851A641973A1878250224,2025-11-17T00:10:00.000000,52,22.2999992,76.06922970384616,100033.53425480769,139.98846259423078,-2.4000001,8.412900263461538,12.0,1.3203846115384614,22.607720542307693,114.06003540769235
20240606181851A641973A1878250224,2025-11-17T00:11:00.000000,51,22.2999992,75.99607849019608,100031.47855392157,132.96862703137253,-2.4000001,8.410235529411764,12.0,1.179019617647059,22.607682762745103,114.06004722156871
20240606181851A641973A1878250224,2025-11-17T00:12:00.000000,53,22.296225675471696,75.93018972830191,100029.82547169812,134.57735803207547,-2.4000001,8.464324822641506,12.0,1.1316981169811322,22.60765623962265,114.06004489811319
